user_id,retention_score,depth_score,complexity_score,velocity_score,success_score,total_events,days_active
4676da53,2.5,30,4.0,0.0,36.5,10,3
398df234,2.5,30,3.6,0.0,36.1,9,3
ebaa450a,7.5,30,20,0.0,57.5,61,14
64ac4e48,2.5,23.08,1.2,0.0,26.78,3,1
dca0ef25,5.0,18.75,2.4,0.0,26.15,6,4
7e72656c,30,30,20,7.86,87.86,697,88
9ccceb7a,27.5,30,20,9.1,86.6,734,72
e9b55a54,30,30,20,13.66,93.66,688,89
5c8b3028,15.0,30,20,2.27,67.27,145,37
f8bbbb47,2.5,30,2.4,0.0,34.9,6,4
a402dbae,2.5,30,1.6,0.0,34.1,4,1
7841c92e,25.0,30,20,12.12,87.12,456,62
841db444,15.0,30,20,1.75,66.75,167,34
4f194555,2.5,30,2.0,0.0,34.5,5,4
216d700c,25.0,30,20,8.0,83.0,746,65
deac3e97,2.5,30,4.0,0.0,36.5,10,3
6d1433ab,27.5,30,20,9.75,87.25,464,70
00ab5ff8,5.0,30,4.0,0.0,39.0,10,5
2f40ad46,25.0,30,20,10.91,85.91,480,60
749dbbdf,5.0,30,16.4,0.0,51.4,41,10
31ec3cde,25.0,30,20,10.62,85.62,501,63
2c0a576a,27.5,30,20,10.64,88.14,493,66
81b7e20c,10.0,30,20,0.0,60.0,86,20
c1326e77,2.5,30,1.2,0.0,33.7,3,1
13bd5c8b,7.5,30,20,0.0,57.5,58,16
cbe33321,2.5,30,4.8,0.0,37.3,12,4
a55dc9a2,5.0,30,4.0,0.0,39.0,10,4
7d07e599,30,30,20,12.98,92.98,748,82
02a220d3,30,30,20,11.54,91.54,615,87
eafad951,25.0,30,20,9.05,84.05,686,63
f29cb0f5,5.0,30,2.0,0.0,37.0,5,3
be74023c,30,30,20,9.47,89.47,577,80
e5e326b4,15.0,30,20,2.27,67.27,145,35
dc65d5fd,2.5,30,2.8,0.0,35.3,7,2
dfb55ebe,30,30,20,14.28,94.28,783,73
d4fffe37,30,30,20,10.89,90.89,823,74
7a06e4e4,30,30,20,13.33,93.33,711,88
93232d3c,25.0,30,20,12.41,87.41,389,61
224c344b,17.5,30,20,3.8,71.3,148,38
de7041fc,25.0,30,20,10.17,85.17,501,64
60939da7,5.0,30,4.4,0.0,39.4,11,4
af082d12,12.5,30,20,0.61,63.11,139,33
761d5706,5.0,30,12.8,0.0,47.8,32,7
02fd9d41,5.0,0.0,0.8,0.0,5.8,2,2
d3d05bcd,25.0,30,20,6.61,81.61,399,62
8cee5b3c,2.5,30,3.2,0.0,35.7,8,5
51185053,10.0,30,20,0.0,60.0,95,25
db8d728a,30,30,20,10.09,90.09,557,80
0ad814af,27.5,30,20,8.32,85.82,713,71
67eef8cd,15.0,30,20,2.18,67.18,150,38
593b4a39,15.0,30,20,2.81,67.81,145,36
b422e8be,12.5,30,20,0.0,62.5,98,27
fdb69d31,7.5,30,20,0.0,57.5,60,16
23074e35,30,30,20,8.76,88.76,905,89
0329f57b,7.5,30,20,0.0,57.5,50,15
39005601,2.5,18.75,2.4,0.0,23.65,6,2
de71bb5a,25.0,30,20,7.69,82.69,632,64
c5754a8b,7.5,30,20,0.0,57.5,56,15
6cb983c9,10.0,30,20,0.0,60.0,73,19
203325f5,30,30,20,10.92,90.92,550,79
a7d22c24,25.0,30,20,11.72,86.72,472,64
57f11923,30,30,20,9.88,89.88,789,84
cc1992f9,12.5,30,20,1.46,63.96,140,35
cb1f2992,30,30,20,10.03,90.03,798,77
88933330,2.5,30,2.8,0.0,35.3,7,2
4ebf31ec,5.0,30,19.2,0.0,54.2,48,10
05682eba,27.5,30,20,8.88,86.38,528,70
5dbf7ee9,15.0,30,20,1.67,66.67,139,35
dc743969,2.5,30,1.6,0.0,34.1,4,1
5a070316,25.0,30,20,6.9,81.9,436,61
099c2420,5.0,30,3.2,0.0,38.2,8,5
10de1824,27.5,30,20,10.0,87.5,781,69
3484dd28,2.5,18.75,2.4,0.0,23.65,6,2
07a53b44,30,30,20,11.91,91.91,635,87
3b37680c,2.5,30,3.2,0.0,35.7,8,4
bcd73b45,2.5,30,3.6,0.0,36.1,9,3
274c277c,27.5,30,20,9.41,86.91,468,71
abafb9a0,30,30,20,10.13,90.13,808,80
0790fead,2.5,0.0,0.8,0.0,3.3,2,1
31ac7c73,30,30,20,14.63,94.63,585,78
433b148a,7.5,30,20,0.0,57.5,65,17
126e6e51,27.5,30,20,8.9,86.4,564,69
823a6c6c,30,30,20,9.23,89.23,784,87
cc37daca,7.5,30,16.8,0.0,54.3,42,13
146642bd,30,30,20,10.17,90.17,868,85
d51606b0,2.5,30,1.6,0.0,34.1,4,1
deb2960f,2.5,30,2.8,0.0,35.3,7,3
95f65fe5,27.5,30,20,9.67,87.17,466,67
86b4c24f,2.5,17.65,2.8,0.0,22.95,7,3
2a6033e0,2.5,0.0,1.2,0.0,3.7,3,1
561a3c30,30,30,20,11.95,91.95,787,81
3f885aeb,27.5,30,20,9.64,87.14,712,67
1d55954c,2.5,18.75,2.4,0.0,23.65,6,2
e121cef1,7.5,30,20,0.0,57.5,64,15
b1684a79,25.0,30,20,8.94,83.94,635,64
5b6be166,27.5,30,20,8.39,85.89,742,70
54008353,12.5,30,20,0.43,62.93,120,31
608fced2,2.5,20.0,2.0,0.0,24.5,5,4
52c0e821,30,30,20,9.2,89.2,544,81
8b16c848,27.5,30,20,10.29,87.79,717,65
798b0560,30,30,20,9.46,89.46,706,77
f25ab003,15.0,30,20,1.56,66.56,140,34
ddf6b164,27.5,30,20,8.95,86.45,565,66
77ad32b4,12.5,30,20,0.78,63.28,137,33
ca2dfede,30,30,20,15.6,95.6,564,81
08b89d24,5.0,30,4.4,0.0,39.4,11,4
fada8479,7.5,30,20,0.0,57.5,58,16
5dd9e93a,2.5,30,2.0,0.0,34.5,5,2
43b2542f,7.5,30,20,0.0,57.5,68,15
ae4989c1,30,30,20,15.0,95.0,587,90
5260812d,15.0,30,20,3.06,68.06,161,37
f93bc7a6,30,30,20,11.53,91.53,477,75
ec09f5fa,25.0,30,20,7.29,82.29,553,63
94bbc7e3,12.5,30,20,0.0,62.5,92,26
7b250daa,30,30,20,9.61,89.61,743,74
c97bec2e,30,30,20,6.23,86.23,714,83
a515d563,12.5,30,20,0.0,62.5,109,29
37e8575d,25.0,30,20,10.33,85.33,439,63
8e28a340,25.0,30,20,8.67,83.67,464,63
38847a77,30,30,20,15.12,95.12,719,82
f30018c5,7.5,30,20,0.0,57.5,65,13
459837af,30,30,20,9.58,89.58,893,90
e4a3e567,15.0,30,20,3.36,68.36,162,39
bf50d154,30,30,20,10.95,90.95,532,77
5de0ab43,15.0,30,20,1.44,66.44,142,36
0ad76c71,27.5,30,20,9.17,86.67,632,70
9d1cd643,5.0,30,2.0,0.0,37.0,5,2
13110ecd,25.0,30,20,7.82,82.82,701,70
a21be24c,25.0,30,20,7.25,82.25,474,65
59bc03b8,22.5,30,20,11.1,83.6,615,59
faee7873,12.5,30,20,0.0,62.5,91,27
11978cb5,30,30,20,10.03,90.03,747,77
143fc15d,5.0,20.0,2.0,0.0,27.0,5,4
11f43ea3,15.0,30,20,2.91,67.91,132,38
f3a39527,2.5,27.27,0.4,0.0,30.17,1,1
857908e4,27.5,30,20,10.11,87.61,631,71
e5e57364,5.0,30,16.4,0.0,51.4,41,10
33aa339c,30,30,20,10.75,90.75,861,89
4b177dd0,2.5,30,4.0,0.0,36.5,10,4
d103dfff,5.0,30,4.0,0.0,39.0,10,4
17f5f736,2.5,30,3.2,0.0,35.7,8,3
63f4cf49,30,30,20,8.4,88.4,615,84
e653aaaf,7.5,30,20,0.0,57.5,66,18
e28c5ada,27.5,30,20,8.97,86.47,649,69
3e008efb,12.5,30,20,0.41,62.91,125,31
ffc7f2b5,10.0,30,20,0.0,60.0,66,23
e1264cac,30,30,20,11.33,91.33,697,77
94009fbf,2.5,30,1.6,0.0,34.1,4,1
6ecbc567,30,30,20,8.47,88.47,679,75
bce92738,30,30,20,8.97,88.97,606,83
8c60dbea,27.5,30,20,9.21,86.71,778,76
45e79e90,25.0,30,20,9.5,84.5,503,64
685f5f98,30,30,20,8.88,88.88,858,74
5be8ee16,25.0,30,20,5.94,80.94,450,61
c76fdb4c,5.0,30,3.6,0.0,38.6,9,4
c70e9635,22.5,30,20,10.9,83.4,642,61
68005dde,30,30,20,8.55,88.55,610,74
f8b5f26a,15.0,30,20,3.38,68.38,189,38
5b8c74e5,12.5,30,20,0.0,62.5,109,30
0a84eef6,30,30,20,7.98,87.98,793,76
ab13a1eb,30,30,20,13.31,93.31,529,79
3c44ea63,2.5,0.0,2.8,0.0,5.3,7,4
41ea9d5f,27.5,30,20,9.13,86.63,726,67
eaa19646,5.0,30,20,0.0,55.0,56,13
44c22e72,25.0,30,20,10.42,85.42,707,62
eb7e55bb,10.0,30,20,0.0,60.0,90,25
f467d69f,25.0,30,20,8.2,83.2,516,62
f38dd310,30,30,20,12.36,92.36,718,72
660e17c0,30,30,20,9.22,89.22,581,85
be670e6c,30,30,20,10.8,90.8,971,87
66c25e2e,30,30,20,11.24,91.24,798,84
5a043170,30,30,20,7.62,87.62,659,83
9dd840aa,30,30,20,6.36,86.36,772,81
9f7bfd4a,10.0,30,20,0.0,60.0,70,19
38ab310d,2.5,0.0,2.0,0.0,4.5,5,2
8a4c87de,30,30,20,10.38,90.38,785,82
f6a281cf,30,30,20,7.8,87.8,784,82
ca89cde5,30,30,20,9.26,89.26,536,76
7b8c51bd,27.5,30,20,5.94,83.44,520,67
2dcfa9e7,25.0,30,20,9.9,84.9,430,61
0180417a,2.5,30,3.6,0.0,36.1,9,3
51060d83,27.5,30,20,9.5,87.0,481,67
1d970550,27.5,30,20,10.98,88.48,504,66
8c4c70f6,25.0,30,20,9.87,84.87,451,61
14fd1ce1,10.0,30,20,0.0,60.0,85,21
7d8fddba,27.5,30,20,9.78,87.28,538,72
f3ae365f,15.0,30,20,0.75,65.75,156,38
a246ed76,15.0,30,20,2.21,67.21,137,35
d5dce6d8,30,30,20,13.18,93.18,463,73
e7b52ee3,7.5,30,20,0.0,57.5,58,15
36869645,5.0,30,2.4,0.0,37.4,6,4
64fde22f,27.5,30,20,7.92,85.42,482,67
ab354961,17.5,30,20,3.36,70.86,174,40
e3ec0102,5.0,30,3.2,0.0,38.2,8,4
fcf9155d,25.0,30,20,10.93,85.93,390,62
0a3d9129,2.5,0.0,0.4,0.0,2.9,1,1
48efeece,30,30,20,9.15,89.15,864,79
457c7604,7.5,30,19.6,0.0,57.1,49,13
f504a41a,12.5,30,20,0.0,62.5,102,25
77b39853,2.5,30,4.4,0.0,36.9,11,5
410e3de2,27.5,30,20,9.62,87.12,510,66
8412170a,30,30,20,9.01,89.01,496,77
a8d30c19,27.5,30,20,11.07,88.57,712,70
373f2fa2,2.5,30,3.6,0.0,36.1,9,3
44030e52,25.0,30,20,9.84,84.84,634,64
f3bb9883,30,30,20,11.81,91.81,857,88
56792e5c,25.0,30,20,10.03,85.03,590,60
abbb44be,2.5,0.0,0.8,0.0,3.3,2,1
acbd8060,27.5,30,20,10.83,88.33,683,69
13933135,12.5,30,20,0.89,63.39,109,33
cd165ad2,15.0,30,20,0.6,65.6,123,31
1279eda0,2.5,27.27,0.4,0.0,30.17,1,1
0d4545d4,30,30,20,9.16,89.16,743,77
8f358d8b,25.0,30,20,6.92,81.92,642,65
d76e513c,5.0,28.57,4.4,0.0,37.97,11,4
1fb0f367,15.0,30,20,3.17,68.17,132,39
c3a65586,30,30,20,12.02,92.02,635,83
2b77ab7e,30,30,20,11.93,91.93,791,84
1fd68a1a,27.5,30,20,13.43,90.93,588,71
093abe9c,30,30,20,11.38,91.38,754,80
bc1b7c38,30,30,20,10.32,90.32,441,75
9ca68448,30,30,20,9.24,89.24,905,85
2376d79c,5.0,30,4.0,0.0,39.0,10,3
27a8d150,5.0,30,3.2,0.0,38.2,8,3
41cf30fa,2.5,0.0,0.4,0.0,2.9,1,1
854ddb4c,2.5,23.08,1.2,0.0,26.78,3,1
d4a8847d,30,30,20,10.0,90.0,544,75
ea42618c,17.5,30,20,1.95,69.45,140,39
a36a7ddf,15.0,30,20,2.14,67.14,158,38
80efa1a3,30,30,20,10.55,90.55,755,75
1da6f46d,12.5,30,20,0.55,63.05,153,32
b200424d,27.5,30,20,7.05,84.55,699,70
7ad79883,30,30,20,9.02,89.02,777,77
a00f39f1,30,30,20,13.81,93.81,599,89
e454cb69,2.5,30,6.4,0.0,38.9,16,5
f620d737,27.5,30,20,9.07,86.57,733,67
00b0fc6c,10.0,30,20,0.0,60.0,67,20
81fb2902,2.5,27.27,0.4,0.0,30.17,1,1
dbaa82f8,5.0,30,2.8,0.0,37.8,7,2
6b0fff19,30,30,20,7.98,87.98,680,82
dd31cf39,2.5,25.0,0.8,0.0,28.3,2,1
94711e8d,12.5,30,20,0.0,62.5,71,26
4886c12a,15.0,30,20,0.93,65.93,140,35
b3f35ad3,27.5,30,20,8.78,86.28,436,68
b403ec6a,12.5,30,20,0.0,62.5,110,30
5f4611ff,17.5,30,20,1.84,69.34,147,39
8e6f9f1e,30,30,20,8.89,88.89,811,83
804720f1,10.0,30,20,0.0,60.0,87,21
b9a59903,12.5,30,20,0.0,62.5,141,28
be518250,12.5,30,20,0.0,62.5,110,30
19209fcc,27.5,30,20,8.84,86.34,517,68
9f2b31a7,10.0,30,20,0.0,60.0,75,20
e1680522,30,30,20,13.85,93.85,583,88
e848779b,5.0,30,4.4,0.0,39.4,11,5
2306f15f,15.0,30,20,2.2,67.2,121,37
bc65e587,30,30,20,13.03,93.03,834,88
32ff5de8,30,30,20,11.76,91.76,557,73
c6d18b34,2.5,23.08,1.2,0.0,26.78,3,1
ac86e90b,30,30,20,9.68,89.68,902,77
03ae6166,2.5,0.0,0.8,0.0,3.3,2,1
92d2b211,30,30,20,9.07,89.07,594,83
15b18519,30,30,20,10.14,90.14,916,88
26165bb1,30,30,20,13.68,93.68,566,79
d110afba,30,30,20,8.54,88.54,793,89
e4707863,30,30,20,9.27,89.27,627,86
e7855166,7.5,30,20,0.0,57.5,88,20
c3c32128,5.0,23.08,1.2,0.0,29.28,3,4
803ee163,10.0,30,20,0.0,60.0,99,20
e804840b,27.5,30,20,8.06,85.56,691,71
89275d96,15.0,30,20,2.24,67.24,141,36
95c056a7,30,30,20,8.49,88.49,756,77
2e5f1867,30,30,20,10.47,90.47,798,82
fc56996e,30,30,20,9.25,89.25,692,80
bc9d9b06,27.5,30,20,10.37,87.87,518,71
b1632c1c,25.0,30,20,9.58,84.58,381,61
c6c43353,7.5,30,20,0.0,57.5,61,17
d68d4643,10.0,30,20,0.0,60.0,76,17
af24bc87,30,30,20,8.63,88.63,588,83
2a15a94c,12.5,30,20,1.12,63.62,128,32
dfad3271,30,30,20,8.44,88.44,609,86
2e05b064,30,30,20,11.91,91.91,540,77
69db8478,27.5,30,20,12.7,90.2,620,67
30d636ba,30,30,20,10.56,90.56,813,82
365d18f7,30,30,20,10.3,90.3,555,84
18cb3178,2.5,0.0,1.2,0.0,3.7,3,1
885f9130,2.5,30,3.2,0.0,35.7,8,4
371f11c0,30,30,20,8.78,88.78,899,85
751bd190,10.0,30,20,0.0,60.0,91,22
59ddddf6,12.5,30,20,0.0,62.5,108,28
081b3ca9,30,30,20,7.63,87.63,512,73
474f25b1,7.5,30,20,0.0,57.5,62,20
1ef4f1c8,15.0,30,20,2.05,67.05,175,38
f0727e6b,7.5,30,20,0.0,57.5,79,16
d01a8f27,30,30,20,8.82,88.82,524,86
edcfa23b,2.5,30,1.2,0.0,33.7,3,2
3872c5e2,2.5,30,2.4,0.0,34.9,6,2
9452aff1,30,30,20,10.31,90.31,591,76
f09c0796,2.5,23.08,1.2,0.0,26.78,3,1
c63951df,25.0,30,20,11.0,86.0,568,60
6cd790ba,2.5,25.0,0.8,0.0,28.3,2,1
d3b784e7,27.5,30,20,10.69,88.19,628,72
392d9a50,27.5,30,20,13.13,90.63,512,72
a6aa9874,25.0,30,20,11.18,86.18,512,63
37616a53,27.5,30,20,12.12,89.62,678,67
33b454ed,2.5,30,6.0,0.0,38.5,15,5
12ce5336,2.5,30,2.8,0.0,35.3,7,2
103198e0,30,30,20,10.85,90.85,631,84
c84fcfbb,27.5,30,20,10.97,88.47,449,67
ba7b64d3,5.0,30,4.8,0.0,39.8,12,5
44746876,27.5,30,20,12.67,90.17,475,67
968ad2ce,5.0,30,18.0,0.0,53.0,45,9
5d80e03e,25.0,30,20,11.48,86.48,604,62
e8e1032e,2.5,25.0,0.8,0.0,28.3,2,1
550fcf20,27.5,30,20,8.44,85.94,679,68
9e0d2456,30,30,20,12.75,92.75,919,88
0c9d8b73,30,30,20,10.03,90.03,804,79
3d0528a7,30,30,20,8.82,88.82,870,81
6ac27b1e,2.5,30,2.8,0.0,35.3,7,2
133c40fe,25.0,30,20,8.53,83.53,431,63
c56f3697,10.0,30,20,0.0,60.0,57,17
2a62abc8,27.5,30,20,11.13,88.63,693,69
84dbf4b8,30,30,20,7.84,87.84,744,81
13d8201d,25.0,30,20,8.39,83.39,714,65
4f9bb76f,30,30,20,12.16,92.16,601,75
e599b815,30,30,20,9.41,89.41,624,78
cb92601b,27.5,30,20,9.04,86.54,518,67
4c51fe2f,25.0,30,20,9.97,84.97,744,63
